Postcode,Country Code,Gma,GmaCanonicalName,CityCanonicalName
4359,US,500,"Portland,Maine,United States","Gardiner,Maine,United States"
4363,US,500,"Portland,Maine,United States","Windsor,Maine,United States"
4364,US,500,"Portland,Maine,United States","Winthrop,Maine,United States"
4530,US,500,"Portland,Maine,United States","Bath,Maine,United States"
4537,US,500,"Portland,Maine,United States","Boothbay,Maine,United States"
4538,US,500,"Portland,Maine,United States","Boothbay Harbor,Maine,United States"
4539,US,500,"Portland,Maine,United States","Bristol,Maine,United States"
4541,US,500,"Portland,Maine,United States","Bristol,Maine,United States"
4543,US,500,"Portland,Maine,United States","Damariscotta,Maine,United States"
4544,US,500,"Portland,Maine,United States","Boothbay,Maine,United States"
4547,US,500,"Portland,Maine,United States","Friendship,Maine,United States"
4548,US,500,"Portland,Maine,United States","Georgetown,Maine,United States"
4549,US,500,"Portland,Maine,United States","Boothbay,Maine,United States"
4551,US,500,"Portland,Maine,United States","Bremen,Maine,United States"
4553,US,500,"Portland,Maine,United States","Newcastle,Maine,United States"
4554,US,500,"Portland,Maine,United States","Bristol,Maine,United States"
4555,US,500,"Portland,Maine,United States","Nobleboro,Maine,United States"
4556,US,500,"Portland,Maine,United States","Edgecomb,Maine,United States"
4558,US,500,"Portland,Maine,United States","Bristol,Maine,United States"
4562,US,500,"Portland,Maine,United States","Phippsburg,Maine,United States"
4563,US,500,"Portland,Maine,United States","Cushing,Maine,United States"
4564,US,500,"Portland,Maine,United States","Bristol,Maine,United States"
4565,US,500,"Portland,Maine,United States","Phippsburg,Maine,United States"
4568,US,500,"Portland,Maine,United States","South Bristol,Maine,United States"
4570,US,500,"Portland,Maine,United States","Southport,Maine,United States"
4571,US,500,"Portland,Maine,United States","Boothbay,Maine,United States"
4572,US,500,"Portland,Maine,United States","Waldoboro,Maine,United States"
4573,US,500,"Portland,Maine,United States","South Bristol,Maine,United States"
4574,US,500,"Portland,Maine,United States","Washington,Maine,United States"
4575,US,500,"Portland,Maine,United States","Boothbay Harbor,Maine,United States"
4576,US,500,"Portland,Maine,United States","Southport,Maine,United States"
4578,US,500,"Portland,Maine,United States","Wiscasset,Maine,United States"
4579,US,500,"Portland,Maine,United States","Woolwich,Maine,United States"
4645,US,500,"Portland,Maine,United States","Isle au Haut,Maine,United States"
4841,US,500,"Portland,Maine,United States","Rockland,Maine,United States"
4843,US,500,"Portland,Maine,United States","Camden,Maine,United States"
4846,US,500,"Portland,Maine,United States","Rockland,Maine,United States"
4847,US,500,"Portland,Maine,United States","Hope,Maine,United States"
4851,US,500,"Portland,Maine,United States","Vinalhaven,Maine,United States"
4852,US,500,"Portland,Maine,United States","Monhegan,Maine,United States"
4853,US,500,"Portland,Maine,United States","North Haven,Maine,United States"
4854,US,500,"Portland,Maine,United States","Owls Head,Maine,United States"
4855,US,500,"Portland,Maine,United States","Saint George,Maine,United States"
4856,US,500,"Portland,Maine,United States","Rockport,Maine,United States"
4858,US,500,"Portland,Maine,United States","South Thomaston,Maine,United States"
4859,US,500,"Portland,Maine,United States","Saint George,Maine,United States"
4860,US,500,"Portland,Maine,United States","Saint George,Maine,United States"
4861,US,500,"Portland,Maine,United States","Thomaston,Maine,United States"
4862,US,500,"Portland,Maine,United States","Union,Maine,United States"
4863,US,500,"Portland,Maine,United States","Vinalhaven,Maine,United States"
4864,US,500,"Portland,Maine,United States","Warren,Maine,United States"
4865,US,500,"Portland,Maine,United States","Rockport,Maine,United States"
4901,US,500,"Portland,Maine,United States","Waterville,Maine,United States"
4903,US,500,"Portland,Maine,United States","Waterville,Maine,United States"
4910,US,500,"Portland,Maine,United States","Albion,Maine,United States"
4917,US,500,"Portland,Maine,United States","Belgrade,Maine,United States"
4918,US,500,"Portland,Maine,United States","Belgrade,Maine,United States"
4926,US,500,"Portland,Maine,United States","China,Maine,United States"
4927,US,500,"Portland,Maine,United States","Clinton,Maine,United States"
4935,US,500,"Portland,Maine,United States","Vassalboro,Maine,United States"
4936,US,500,"Portland,Maine,United States","Eustis,Maine,United States"
4938,US,500,"Portland,Maine,United States","Farmington,Maine,United States"
4940,US,500,"Portland,Maine,United States","Farmington,Maine,United States"
4947,US,500,"Portland,Maine,United States","Kingfield,Maine,United States"
4955,US,500,"Portland,Maine,United States","New Sharon,Maine,United States"
4956,US,500,"Portland,Maine,United States","New Vineyard,Maine,United States"
4962,US,500,"Portland,Maine,United States","Vassalboro,Maine,United States"
4963,US,500,"Portland,Maine,United States","Oakland,Maine,United States"
4964,US,500,"Portland,Maine,United States","Rangeley,Maine,United States"
4966,US,500,"Portland,Maine,United States","Phillips,Maine,United States"
4970,US,500,"Portland,Maine,United States","Rangeley,Maine,United States"
4982,US,500,"Portland,Maine,United States","Eustis,Maine,United States"
4983,US,500,"Portland,Maine,United States","Strong,Maine,United States"
4984,US,500,"Portland,Maine,United States","Wilton,Maine,United States"
4989,US,500,"Portland,Maine,United States","Vassalboro,Maine,United States"
4992,US,500,"Portland,Maine,United States","Farmington,Maine,United States"
48001,US,505,"Detroit,Michigan,United States","Algonac,Michigan,United States"
48003,US,505,"Detroit,Michigan,United States","Almont,Michigan,United States"
48005,US,505,"Detroit,Michigan,United States","Armada,Michigan,United States"
48006,US,505,"Detroit,Michigan,United States","Avoca,Michigan,United States"
48007,US,505,"Detroit,Michigan,United States","Troy,Michigan,United States"
48009,US,505,"Detroit,Michigan,United States","Birmingham,Michigan,United States"
48012,US,505,"Detroit,Michigan,United States","Birmingham,Michigan,United States"
48014,US,505,"Detroit,Michigan,United States","Capac,Michigan,United States"
48015,US,505,"Detroit,Michigan,United States","Center Line,Michigan,United States"
48017,US,505,"Detroit,Michigan,United States","Clawson,Michigan,United States"
48021,US,505,"Detroit,Michigan,United States","Eastpointe,Michigan,United States"
48022,US,505,"Detroit,Michigan,United States","Emmett,Michigan,United States"
48025,US,505,"Detroit,Michigan,United States","Bloomfield Township,Michigan,United States"
48026,US,505,"Detroit,Michigan,United States","Fraser,Michigan,United States"
48027,US,505,"Detroit,Michigan,United States","Goodells,Michigan,United States"
48028,US,505,"Detroit,Michigan,United States","Harsens Island,Michigan,United States"
48030,US,505,"Detroit,Michigan,United States","Hazel Park,Michigan,United States"
48032,US,505,"Detroit,Michigan,United States","Jeddo,Michigan,United States"
48033,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48034,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48035,US,505,"Detroit,Michigan,United States","Charter Township of Clinton,Michigan,United States"
48036,US,505,"Detroit,Michigan,United States","Charter Township of Clinton,Michigan,United States"
48037,US,505,"Detroit,Michigan,United States","Southfield,Michigan,United States"
48038,US,505,"Detroit,Michigan,United States","Charter Township of Clinton,Michigan,United States"
48039,US,505,"Detroit,Michigan,United States","Marine City,Michigan,United States"
48040,US,505,"Detroit,Michigan,United States","Marysville,Michigan,United States"
48041,US,505,"Detroit,Michigan,United States","Memphis,Michigan,United States"
48042,US,505,"Detroit,Michigan,United States","Macomb,Michigan,United States"
48043,US,505,"Detroit,Michigan,United States","Mount Clemens,Michigan,United States"
48044,US,505,"Detroit,Michigan,United States","Macomb,Michigan,United States"
48045,US,505,"Detroit,Michigan,United States","Harrison charter Township,Michigan,United States"
48046,US,505,"Detroit,Michigan,United States","Mount Clemens,Michigan,United States"
48047,US,505,"Detroit,Michigan,United States","New Baltimore,Michigan,United States"
48048,US,505,"Detroit,Michigan,United States","New Haven,Michigan,United States"
