Postcode,CountryCode,Gma,GmaCanonicalName
53588,US,669,"Madison,WI"
77555,US,618,"Houston,TX"
53585,US,617,"Milwaukee,WI"
53586,US,669,"Madison,WI"
53589,US,669,"Madison,WI"
65571,US,619,"Springfield,MO"
53590,US,669,"Madison,WI"
53594,US,617,"Milwaukee,WI"
53595,US,669,"Madison,WI"
77541,US,618,"Houston,TX"
53593,US,669,"Madison,WI"
53598,US,669,"Madison,WI"
53599,US,669,"Madison,WI"
53596,US,669,"Madison,WI"
77545,US,618,"Houston,TX"
53597,US,669,"Madison,WI"
77546,US,618,"Houston,TX"
77547,US,618,"Houston,TX"
90503,US,803,"Los Angeles,CA"
90502,US,803,"Los Angeles,CA"
89523,US,811,"Reno,NV"
90505,US,803,"Los Angeles,CA"
90504,US,803,"Los Angeles,CA"
89521,US,811,"Reno,NV"
90506,US,803,"Los Angeles,CA"
65570,US,619,"Springfield,MO"
65583,US,619,"Springfield,MO"
65582,US,604,"Columbia-Jefferson City,MO"
65584,US,619,"Springfield,MO"
65589,US,619,"Springfield,MO"
65588,US,619,"Springfield,MO"
77571,US,618,"Houston,TX"
77573,US,618,"Houston,TX"
77575,US,618,"Houston,TX"
77577,US,618,"Houston,TX"
77578,US,618,"Houston,TX"
89557,US,811,"Reno,NV"
65580,US,604,"Columbia-Jefferson City,MO"
77560,US,618,"Houston,TX"
77562,US,618,"Houston,TX"
77563,US,618,"Houston,TX"
77564,US,618,"Houston,TX"
77565,US,618,"Houston,TX"
77566,US,618,"Houston,TX"
77568,US,618,"Houston,TX"
65590,US,619,"Springfield,MO"
65591,US,619,"Springfield,MO"
16510,US,516,"Erie,PA"
16511,US,516,"Erie,PA"
16515,US,516,"Erie,PA"
28504,US,545,"Greenville-New Bern-Washington,NC"
28501,US,545,"Greenville-New Bern-Washington,NC"
28508,US,545,"Greenville-New Bern-Washington,NC"
4547,US,500,"Portland-Auburn,ME"
4548,US,500,"Portland-Auburn,ME"
4543,US,500,"Portland-Auburn,ME"
4544,US,500,"Portland-Auburn,ME"
4541,US,500,"Portland-Auburn,ME"
4537,US,500,"Portland-Auburn,ME"
4538,US,500,"Portland-Auburn,ME"
4539,US,500,"Portland-Auburn,ME"
4535,US,500,"Portland-Auburn,ME"
4530,US,500,"Portland-Auburn,ME"
16509,US,516,"Erie,PA"
16508,US,516,"Erie,PA"
16503,US,516,"Erie,PA"
16502,US,516,"Erie,PA"
16501,US,516,"Erie,PA"
16507,US,516,"Erie,PA"
16506,US,516,"Erie,PA"
16505,US,516,"Erie,PA"
16504,US,516,"Erie,PA"
53503,US,669,"Madison,WI"
53504,US,669,"Madison,WI"
53501,US,669,"Madison,WI"
53502,US,669,"Madison,WI"
53507,US,669,"Madison,WI"
53508,US,669,"Madison,WI"
53505,US,669,"Madison,WI"
53506,US,669,"Madison,WI"
53510,US,669,"Madison,WI"
53511,US,669,"Madison,WI"
53515,US,669,"Madison,WI"
53518,US,669,"Madison,WI"
53516,US,669,"Madison,WI"
53517,US,669,"Madison,WI"
65501,US,619,"Springfield,MO"
53521,US,669,"Madison,WI"
53522,US,669,"Madison,WI"
53520,US,669,"Madison,WI"
53525,US,669,"Madison,WI"
53526,US,669,"Madison,WI"
53523,US,669,"Madison,WI"
53529,US,669,"Madison,WI"
53527,US,669,"Madison,WI"
53528,US,669,"Madison,WI"
53532,US,669,"Madison,WI"
53533,US,669,"Madison,WI"
53530,US,669,"Madison,WI"
53531,US,669,"Madison,WI"
53536,US,669,"Madison,WI"
53537,US,669,"Madison,WI"
53534,US,669,"Madison,WI"
53535,US,669,"Madison,WI"
53538,US,617,"Milwaukee,WI"
